,author,title,source,date,target
0,By Jeff Cercone ,Brown University student Mustapha Karbouch was a suspect in school shooting.,Social Media," December 19, 2025",false
1,By Maria Briceño ,Images from Jeffrey Epstein “archives” show President Donald Trump and Epstein with young women.,X posts," December 19, 2025",pants-fire
2,By Maria Briceño ,Image shows Rob Reiner tweeted in 2023 that he would stop posting until “Trump goes to prison.”,Laura Loomer," December 17, 2025",false
3,By Jill Terreri Ramos ,Gov. Kathy Hochul has raised taxes.,Elise Stefanik," December 11, 2025",half-true
4,By Louis Jacobson ,The U.S. has received promises of investments totaling $18 trillion to $22 trillion since January.,Donald Trump," December 9, 2025",false
5,By Amy Sherman ,“I take responsibility for putting people in jail” in Minnesota fraud scandal.,Tim Walz," December 5, 2025",false
6,By Maria Briceño ,Video muestra noticia de “última hora” en el que el presidente venezolano Nicolás Maduro se “rindió públicamente” ante el presidente Donald Trump.,Donald Trump," December 4, 2025",pants-fire
7,By Louis Jacobson ,"Any pardon signed with an autopen is now ""fully and completely terminated, and is of no legal effect.""",Donald Trump," December 4, 2025",false
8,By Paul Specht ,A new North Carolina law “prohibits the use of wireless communication devices while driving.”,Facebook posts," December 4, 2025",false
9,By Maria Briceño ,"Video shows “breaking” news that Venezuelan President Nicolás Maduro ""publicly surrendered"" to President Donald Trump.",Donald Trump," December 3, 2025",pants-fire
10,By Paul Specht ,"“This Thanksgiving, turkey prices are at their lowest point since 2000.”",Richard Hudson," November 26, 2025",false
11,By Madison Czopek ,"The Trump administration removed nursing from the list of professional degree programs, affecting aspiring nurses’ student loan access.",Social Media," November 26, 2025",half-true
12,By Louis Jacobson ,“I have just gotten the highest poll numbers of my ‘political career.’”,Donald Trump," November 24, 2025",false
13,By Paul Specht ,"“There’s about 1,400 criminal illegal aliens that, right now, are in North Carolina and Charlotte’s jails that they refuse to turn over to ICE law enforcement.”",Tricia McLaughlin," November 24, 2025",false
14,By Trent Ao ,West Virginia is “the only state losing population.”,Kayla Young," November 21, 2025",false
15,By Maria Briceño ,A pro-Donald Trump Montana town planned a “pedophile bonfire” in a park for burning Trump flags and MAGA hats.,X posts," November 21, 2025",pants-fire
16,By Madison Czopek ,“We’re not cutting science. We’re not cutting research.”,Robert F. Kennedy Jr.," November 20, 2025",pants-fire
17,By Samantha Putterman ,Housing is expensive “because we flooded the country with 30 million illegal immigrants” and because of a housing shortage.,JD Vance," November 20, 2025",barely-true
18,By Louis Jacobson ,"Stock prices for health insurance companies are “up over 1,000% over a short period of time.”",Donald Trump," November 19, 2025",half-true
19,By Madison Czopek ,Video shows President Donald Trump patting President Bill Clinton’s crotch.,TikTok posts," November 17, 2025",false
