,Unnamed: 0,author,title,source,date,target
0,0,By Jeff Cercone ,brown university student mustapha karbouch wa suspect school shooting,Social Media," December 19, 2025",false
1,1,By Maria Briceño ,image from jeffrey epstein archive show president donald trump and epstein with young woman,X posts," December 19, 2025",pants-fire
2,2,By Maria Briceño ,image show rob reiner tweeted that would stop posting until trump go prison,Laura Loomer," December 17, 2025",false
3,3,By Jill Terreri Ramos ,gov kathy hochul ha raised tax,Elise Stefanik," December 11, 2025",half-true
4,4,By Louis Jacobson ,the ha received promise investment totaling trillion trillion since january,Donald Trump," December 9, 2025",false
5,5,By Amy Sherman ,take responsibility for putting people jail minnesota fraud scandal,Tim Walz," December 5, 2025",false
6,6,By Maria Briceño ,video muestra noticia ltima hora que presidente venezolano nicol maduro rindi blicamente ante presidente donald trump,Donald Trump," December 4, 2025",pants-fire
7,7,By Louis Jacobson ,any pardon signed with autopen now fully and completely terminated and legal effect,Donald Trump," December 4, 2025",false
8,8,By Paul Specht ,new north carolina law prohibits the use wireless communication device while driving,Facebook posts," December 4, 2025",false
9,9,By Maria Briceño ,video show breaking news that venezuelan president nicol maduro publicly surrendered president donald trump,Donald Trump," December 3, 2025",pants-fire
10,10,By Paul Specht ,this thanksgiving turkey price are their lowest point since,Richard Hudson," November 26, 2025",false
11,11,By Madison Czopek ,the trump administration removed nursing from the list professional degree program affecting aspiring nurse student loan access,Social Media," November 26, 2025",half-true
12,12,By Louis Jacobson ,have just gotten the highest poll number political career,Donald Trump," November 24, 2025",false
13,13,By Paul Specht ,there about criminal illegal alien that right now are north carolina and charlotte jail that they refuse turn over ice law enforcement,Tricia McLaughlin," November 24, 2025",false
14,14,By Trent Ao ,west virginia the only state losing population,Kayla Young," November 21, 2025",false
15,15,By Maria Briceño ,pro donald trump montana town planned pedophile bonfire park for burning trump flag and maga hat,X posts," November 21, 2025",pants-fire
16,16,By Madison Czopek ,not cutting science not cutting research,Robert F. Kennedy Jr.," November 20, 2025",pants-fire
17,17,By Samantha Putterman ,housing expensive because flooded the country with million illegal immigrant and because housing shortage,JD Vance," November 20, 2025",barely-true
18,18,By Louis Jacobson ,stock price for health insurance company are over over short period time,Donald Trump," November 19, 2025",half-true
19,19,By Madison Czopek ,video show president donald trump patting president bill clinton crotch,TikTok posts," November 17, 2025",false
20,20,By Samantha Putterman ,evidence suggests that woman who consume abortion pill are hospitalized,James Uthmeier," November 14, 2025",barely-true
21,21,By Louis Jacobson ,tariff are helping slash the deficit this year more than,Donald Trump," November 14, 2025",false
22,22,By Louis Jacobson ,walmart package thanksgiving dinner ingredient show reduction cost for thanksgiving between president joe biden and,Donald Trump," November 14, 2025",barely-true
23,23,By Loreben Tuquero ,doge halt yearly payment million barack obama for royalty linked obamacare,Donald Trump," November 10, 2025",pants-fire
24,24,By Paul Specht ,north carolina teacher are already the lowest paid teacher the south,Anderson Clayton," November 8, 2025",barely-true
25,25,By Maria Briceño ,rfk flees the scene after novo nordisk executive gordon findlay collapsed the oval office,X posts," November 7, 2025",false
26,26,By Louis Jacobson ,new york city mayor elect zohran mamdani bringing sharia law america,Nancy Mace," November 7, 2025",pants-fire
27,27,By Grace Abels ,voting california rigged,Donald Trump," November 5, 2025",pants-fire
28,28,By Maria Briceño ,new york state ha requirement vote and people could lie about their address and vote multiple precinct,X posts," November 4, 2025",barely-true
29,29,By Louis Jacobson ,the new york city ballot form scam because mayoral candidate appear twice,Elon Musk," November 4, 2025",false
